action_type,activity_comment,activity_id,activity_properties,assay_chembl_id,assay_description,assay_type,assay_variant_accession,assay_variant_mutation,bao_endpoint,bao_format,bao_label,canonical_smiles,data_validity_comment,data_validity_description,document_chembl_id,document_journal,document_year,ligand_efficiency,modality,molecule_chembl_id,molecule_pref_name,parent_molecule_chembl_id,pchembl_value,potential_duplicate,qudt_units,record_id,relation,src_id,standard_flag,standard_relation,standard_text_value,standard_type,standard_units,standard_upper_value,standard_value,target_chembl_id,target_organism,target_pref_name,target_tax_id,text_value,toid,type,units,uo_units,upper_value,value,MW,AlogP,HBA,HBD,PSA
,,46694,[],CHEMBL674637,Inhibitory activity towards tyrosine phosphorylation for the epidermal growth factor-receptor kinase,B,,,BAO_0000190,BAO_0000357,single protein format,O=C1Nc2ncnc(Nc3ccc(F)c(Cl)c3)c2/C1=C/c1ccc(C(=O)NCCN2CCOCC2)[nH]1,,,CHEMBL1134862,Bioorg Med Chem Lett,2002,"{'bei': '14.96', 'le': '0.29', 'lle': '4.76', 'sei': '6.16'}",,CHEMBL302552,,CHEMBL302552,7.66,0,http://www.openphacts.org/units/Nanomolar,119505,=,1,1,=,,IC50,nM,,22.0,CHEMBL203,Homo sapiens,Epidermal growth factor receptor,9606,,,IC50,uM,UO_0000065,,0.022,511.9450000000004,2.895500000000001,7,4,124.26999999999998
,,411983,[],CHEMBL679944,Concentration needed to inhibit the phosphorylation of a 14-residue fragment of phospholipase C-gamma1 by Epidermal growth factor receptor (prepared from human A431 carcinoma cell vesicles by immunoaffinity chromatography),B,,,BAO_0000190,BAO_0000357,single protein format,Clc1cccc(Nc2ncnc3ccccc23)c1,,,CHEMBL1132555,J Med Chem,1999,"{'bei': '29.87', 'le': '0.58', 'lle': '3.61', 'sei': '20.20'}",,CHEMBL329672,,CHEMBL329672,7.64,1,http://www.openphacts.org/units/Nanomolar,296410,=,1,1,=,,IC50,nM,,23.0,CHEMBL203,Homo sapiens,Epidermal growth factor receptor,9606,,,IC50,nM,UO_0000065,,23.0,255.708,4.0268000000000015,3,1,37.81
,,210448,[],CHEMBL674106,Inhibitory activity against epidermal growth factor receptor,B,,,BAO_0000190,BAO_0000357,single protein format,CS(=O)(=O)CCNCCCCOc1ccc2ncnc(Nc3ccc4c(cnn4Cc4cccc(F)c4)c3)c2c1,,,CHEMBL1146682,Bioorg Med Chem Lett,2004,"{'bei': '13.54', 'le': '0.26', 'lle': '2.92', 'sei': '6.86'}",,CHEMBL493428,,CHEMBL493428,7.62,0,http://www.openphacts.org/units/Nanomolar,15411,=,1,1,=,,IC50,nM,,24.0,CHEMBL203,Homo sapiens,Epidermal growth factor receptor,9606,,,IC50,nM,UO_0000065,,24.0,562.6710000000002,4.703700000000003,9,2,111.03
,,70342,[],CHEMBL677833,In vitro inhibition of Epidermal growth factor receptor tyrosine kinase isolated from A431 (human carcinoma).,B,,,BAO_0000190,BAO_0000357,single protein format,Cc1cccc(Nc2ncnc3ccc(/N=N/N(C)C)cc23)c1,,,CHEMBL1145114,J Med Chem,2003,"{'bei': '24.87', 'le': '0.45', 'lle': '3.38', 'sei': '11.59'}",,CHEMBL133023,,CHEMBL133023,7.62,0,http://www.openphacts.org/units/Nanomolar,262244,=,1,1,=,,IC50,nM,,24.0,CHEMBL203,Homo sapiens,Epidermal growth factor receptor,9606,,,IC50,uM,UO_0000065,,0.024,306.3730000000001,4.2421200000000026,5,1,65.77
,,67606,[],CHEMBL677833,In vitro inhibition of Epidermal growth factor receptor tyrosine kinase isolated from A431 (human carcinoma).,B,,,BAO_0000190,BAO_0000357,single protein format,Brc1cccc(Nc2ncnc3ccc(N/N=N/Cc4ccccc4)cc23)c1,,,CHEMBL1145114,J Med Chem,2003,"{'bei': '17.54', 'le': '0.37', 'lle': '1.48', 'sei': '10.20'}",,CHEMBL424093,,CHEMBL424093,7.6,0,http://www.openphacts.org/units/Nanomolar,262240,=,1,1,=,,IC50,nM,,25.0,CHEMBL203,Homo sapiens,Epidermal growth factor receptor,9606,,,IC50,uM,UO_0000065,,0.025,433.31300000000016,6.115200000000003,5,2,74.56
,,199646,[],CHEMBL674106,Inhibitory activity against epidermal growth factor receptor,B,,,BAO_0000190,BAO_0000357,single protein format,CS(=O)(=O)CCNCCCCOc1ccc2ncnc(Nc3ccc(OCc4cccc(F)c4)c(Cl)c3)c2c1,,,CHEMBL1146682,Bioorg Med Chem Lett,2004,"{'bei': '13.21', 'le': '0.27', 'lle': '2.03', 'sei': '7.39'}",,CHEMBL514436,,CHEMBL514436,7.57,0,http://www.openphacts.org/units/Nanomolar,15412,=,1,1,=,,IC50,nM,,27.0,CHEMBL203,Homo sapiens,Epidermal growth factor receptor,9606,,,IC50,nM,UO_0000065,,27.0,573.0900000000001,5.5381000000000045,8,2,102.44000000000001
,,192570,[],CHEMBL677389,Inhibition of the phosphorylation of a random polyglutamic acid/tyrosine copolymer by human epidermal growth factor receptor(EGFR) prepared from human A431 carcinoma cells,B,,,BAO_0000190,BAO_0000219,cell-based format,Brc1cccc(Nc2ncnc3ccccc23)c1,,,CHEMBL1130030,J Med Chem,1997,"{'bei': '25.22', 'le': '0.57', 'lle': '3.43', 'sei': '20.02'}",,CHEMBL290096,,CHEMBL290096,7.57,1,http://www.openphacts.org/units/Nanomolar,60206,=,1,1,=,,IC50,nM,,27.0,CHEMBL203,Homo sapiens,Epidermal growth factor receptor,9606,,,IC50,nM,UO_0000065,,27.0,300.15900000000005,4.135900000000001,3,1,37.81
,,416872,[],CHEMBL679944,Concentration needed to inhibit the phosphorylation of a 14-residue fragment of phospholipase C-gamma1 by Epidermal growth factor receptor (prepared from human A431 carcinoma cell vesicles by immunoaffinity chromatography),B,,,BAO_0000190,BAO_0000357,single protein format,Brc1cccc(Nc2ncnc3ccc4[nH]cnc4c23)c1,,,CHEMBL1132555,J Med Chem,1999,"{'bei': '22.16', 'le': '0.49', 'lle': '3.53', 'sei': '11.34'}",,CHEMBL153170,,CHEMBL153170,7.54,1,http://www.openphacts.org/units/Nanomolar,296374,=,1,1,=,,IC50,nM,,29.0,CHEMBL203,Homo sapiens,Epidermal growth factor receptor,9606,,,IC50,nM,UO_0000065,,29.0,340.1840000000001,4.012200000000001,4,2,66.49000000000001
,,54402,[],CHEMBL674637,Inhibitory activity towards tyrosine phosphorylation for the epidermal growth factor-receptor kinase,B,,,BAO_0000190,BAO_0000357,single protein format,Cc1cc(C(=O)O)[nH]c1/C=C1\C(=O)Nc2ncnc(Nc3ccc(F)c(Cl)c3)c21,,,CHEMBL1134862,Bioorg Med Chem Lett,2002,"{'bei': '18.22', 'le': '0.35', 'lle': '3.70', 'sei': '6.28'}",,CHEMBL305194,,CHEMBL305194,7.54,0,http://www.openphacts.org/units/Nanomolar,119486,=,1,1,=,,IC50,nM,,29.0,CHEMBL203,Homo sapiens,Epidermal growth factor receptor,9606,,,IC50,uM,UO_0000065,,0.029,413.7960000000001,3.8401200000000006,5,4,120.0
,,141112,[],CHEMBL680030,Tested for inhibition of PLC gamma-derived substrate in Epidermal growth factor receptor stimulated A431 cells,F,,,BAO_0000190,BAO_0000219,cell-based format,COc1ccc2ncnc(Nc3cccc(Br)c3)c2c1,,,CHEMBL1130057,J Med Chem,1997,,,CHEMBL52197,,CHEMBL52197,7.52,1,http://www.openphacts.org/units/Nanomolar,89146,=,1,1,=,,IC50,nM,,30.0,CHEMBL203,Homo sapiens,Epidermal growth factor receptor,9606,,,IC50,nM,UO_0000065,,30.0,330.18500000000006,4.1445000000000025,4,1,47.040000000000006
,,107306,[],CHEMBL680019,Inhibitory concentration was evaluated against epidermal growth factor receptor (EGFr) tyrosine kinase,B,,,BAO_0000190,BAO_0000357,single protein format,COc1cccc(Nc2ncc3cc(-c4c(Cl)cccc4Cl)c(=O)n(C)c3n2)c1,,,CHEMBL1131066,J Med Chem,1998,"{'bei': '17.61', 'le': '0.35', 'lle': '2.47', 'sei': '10.90'}",,CHEMBL111197,,CHEMBL111197,7.52,0,http://www.openphacts.org/units/Nanomolar,210190,=,1,1,=,,IC50,nM,,30.0,CHEMBL203,Homo sapiens,Epidermal growth factor receptor,9606,,,IC50,uM,UO_0000065,,0.03,427.2910000000001,5.054500000000003,6,1,69.03999999999999
,,280104,[],CHEMBL677890,Inhibitory activity against protein tyrosine kinase of Epidermal growth factor receptor was determined,B,,,BAO_0000190,BAO_0000357,single protein format,CO[C@H]1[C@@H](N(C)CC(=O)O)C[C@@H]2O[C@@]1(C)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,,,CHEMBL1127758,Bioorg Med Chem Lett,1994,"{'bei': '14.31', 'le': '0.26', 'lle': '3.36', 'sei': '7.67'}",,CHEMBL132348,,CHEMBL132348,7.51,0,http://www.openphacts.org/units/Nanomolar,249320,=,1,1,=,,IC50,nM,,31.0,CHEMBL203,Homo sapiens,Epidermal growth factor receptor,9606,,,IC50,uM,UO_0000065,,0.031,524.5770000000002,4.1510000000000025,7,2,97.96000000000001
,,407148,[],CHEMBL679944,Concentration needed to inhibit the phosphorylation of a 14-residue fragment of phospholipase C-gamma1 by Epidermal growth factor receptor (prepared from human A431 carcinoma cell vesicles by immunoaffinity chromatography),B,,,BAO_0000190,BAO_0000357,single protein format,Brc1cccc(Nc2[nH]cnc3nc4ccccc4c2-3)c1,,,CHEMBL1132555,J Med Chem,1999,"{'bei': '22.14', 'le': '0.49', 'lle': '2.94', 'sei': '14.01'}",,CHEMBL423224,,CHEMBL423224,7.51,0,http://www.openphacts.org/units/Nanomolar,296362,=,1,1,=,,IC50,nM,,31.0,CHEMBL203,Homo sapiens,Epidermal growth factor receptor,9606,,,IC50,nM,UO_0000065,,31.0,339.1960000000001,4.568800000000001,3,2,53.6
,,284919,[],CHEMBL680015,Inhibition of EGFR,B,,,BAO_0000190,BAO_0000357,single protein format,CS(=O)(=O)CCNc1nc(-c2ccc3ncnc(Nc4ccc(F)c(Cl)c4)c3c2)cs1,,,CHEMBL1136583,Bioorg Med Chem Lett,2003,"{'bei': '15.60', 'le': '0.33', 'lle': '2.71', 'sei': '7.70'}",,CHEMBL157084,,CHEMBL157084,7.46,0,http://www.openphacts.org/units/Nanomolar,309597,=,1,1,=,,IC50,nM,,35.0,CHEMBL203,Homo sapiens,Epidermal growth factor receptor,9606,,,IC50,uM,UO_0000065,,0.035,477.9740000000001,4.7459000000000024,8,2,96.87
,,418071,[],CHEMBL679944,Concentration needed to inhibit the phosphorylation of a 14-residue fragment of phospholipase C-gamma1 by Epidermal growth factor receptor (prepared from human A431 carcinoma cell vesicles by immunoaffinity chromatography),B,,,BAO_0000190,BAO_0000357,single protein format,Brc1cccc(Nc2ncnc3sccc23)c1,,,CHEMBL1132555,J Med Chem,1999,"{'bei': '24.35', 'le': '0.60', 'lle': '3.26', 'sei': '19.72'}",,CHEMBL355982,,CHEMBL355982,7.46,0,http://www.openphacts.org/units/Nanomolar,296356,=,1,1,=,,IC50,nM,,35.0,CHEMBL203,Homo sapiens,Epidermal growth factor receptor,9606,,,IC50,nM,UO_0000065,,35.0,306.18800000000005,4.197400000000001,4,1,37.81
,,140014,[],CHEMBL679947,"Inhibition of phosphorylation of phospholipase C gamma1 by Epidermal growth factor receptor, from human A431 carcinoma cell vesicles",F,,,BAO_0000190,BAO_0000019,assay format,CN(C)CCNc1ncc2ncnc(Nc3cccc(Br)c3)c2n1,,,CHEMBL1130057,J Med Chem,1997,,,CHEMBL54067,,CHEMBL54067,7.46,0,http://www.openphacts.org/units/Nanomolar,89145,=,1,1,=,,IC50,nM,,35.0,CHEMBL203,Homo sapiens,Epidermal growth factor receptor,9606,,,IC50,nM,UO_0000065,,35.0,388.2730000000001,2.8994,7,2,78.86
,,66490,[],CHEMBL677833,In vitro inhibition of Epidermal growth factor receptor tyrosine kinase isolated from A431 (human carcinoma).,B,,,BAO_0000190,BAO_0000357,single protein format,CN(C)CC/N=N/Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1,,,CHEMBL1145114,J Med Chem,2003,"{'bei': '17.91', 'le': '0.39', 'lle': '2.94', 'sei': '9.54'}",,CHEMBL137534,,CHEMBL137534,7.42,0,http://www.openphacts.org/units/Nanomolar,262237,=,1,1,=,,IC50,nM,,38.0,CHEMBL203,Homo sapiens,Epidermal growth factor receptor,9606,,,IC50,uM,UO_0000065,,0.038,414.3110000000001,4.476600000000003,6,2,77.80000000000001
,,63852,[],CHEMBL677833,In vitro inhibition of Epidermal growth factor receptor tyrosine kinase isolated from A431 (human carcinoma).,B,,,BAO_0000190,BAO_0000357,single protein format,C/N=N/Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1,,,CHEMBL1145114,J Med Chem,2003,"{'bei': '20.74', 'le': '0.46', 'lle': '2.87', 'sei': '9.94'}",,CHEMBL137617,,CHEMBL137617,7.41,0,http://www.openphacts.org/units/Nanomolar,262231,=,1,1,=,,IC50,nM,,39.0,CHEMBL203,Homo sapiens,Epidermal growth factor receptor,9606,,,IC50,uM,UO_0000065,,0.039,357.2150000000001,4.544800000000002,5,2,74.56
,,32270,[],CHEMBL621151,Inhibition of autophosphorylation of human epidermal growth factor-receptor (EGF-R) expressed in A431 cells,F,,,BAO_0000190,BAO_0000219,cell-based format,Cc1cc(C(=O)N2CCOCC2)[nH]c1/C=C1\C(=O)Nc2ncnc(Nc3ccc(F)c(Cl)c3)c21,,,CHEMBL1134862,Bioorg Med Chem Lett,2002,,,CHEMBL69960,,CHEMBL69960,7.4,0,http://www.openphacts.org/units/Nanomolar,119494,=,1,1,=,,IC50,nM,,40.0,CHEMBL203,Homo sapiens,Epidermal growth factor receptor,9606,,,IC50,uM,UO_0000065,,0.04,482.9030000000001,3.614320000000001,6,3,112.24
,,409491,[],CHEMBL679944,Concentration needed to inhibit the phosphorylation of a 14-residue fragment of phospholipase C-gamma1 by Epidermal growth factor receptor (prepared from human A431 carcinoma cell vesicles by immunoaffinity chromatography),B,,,BAO_0000190,BAO_0000357,single protein format,Brc1cccc(Nc2ncnc3c2sc2ncsc23)c1.CO,,,CHEMBL1132555,J Med Chem,1999,"{'bei': '20.37', 'le': '0.51', 'lle': '2.59', 'sei': '14.59'}",,CHEMBL346863,,CHEMBL1184382,7.4,0,http://www.openphacts.org/units/Nanomolar,296378,=,1,1,=,,IC50,nM,,40.0,CHEMBL203,Homo sapiens,Epidermal growth factor receptor,9606,,,IC50,nM,UO_0000065,,40.0,395.3070000000001,4.415600000000002,7,2,70.93
,,205655,[],CHEMBL677389,Inhibition of the phosphorylation of a random polyglutamic acid/tyrosine copolymer by human epidermal growth factor receptor(EGFR) prepared from human A431 carcinoma cells,B,,,BAO_0000190,BAO_0000219,cell-based format,CN(C)CCn1ncc2cc3c(Nc4cccc(Br)c4)ncnc3cc21,,,CHEMBL1130030,J Med Chem,1997,"{'bei': '17.99', 'le': '0.39', 'lle': '3.35', 'sei': '12.57'}",,CHEMBL287832,,CHEMBL287832,7.4,0,http://www.openphacts.org/units/Nanomolar,60212,=,1,1,=,,IC50,nM,,40.0,CHEMBL203,Homo sapiens,Epidermal growth factor receptor,9606,,,IC50,nM,UO_0000065,,40.0,411.30700000000013,4.047200000000002,6,1,58.870000000000005
,,352154,[],CHEMBL677387,Inhibition of phosphorylation of polyglutamic acid/tyrosine random copolymer by epidermal growth factor receptor.,B,,,BAO_0000190,BAO_0000357,single protein format,CN(C)CCN(C)c1cc2ncnc(Nc3cccc(Br)c3)c2cn1,,,CHEMBL1130246,J Med Chem,1997,"{'bei': '18.43', 'le': '0.40', 'lle': '3.87', 'sei': '12.94'}",,CHEMBL126137,,CHEMBL126137,7.4,0,http://www.openphacts.org/units/Nanomolar,243828,=,1,1,=,,IC50,nM,,40.0,CHEMBL203,Homo sapiens,Epidermal growth factor receptor,9606,,,IC50,nM,UO_0000065,,40.0,401.31200000000007,3.5287000000000015,6,1,57.18000000000001
,,202120,[],CHEMBL677389,Inhibition of the phosphorylation of a random polyglutamic acid/tyrosine copolymer by human epidermal growth factor receptor(EGFR) prepared from human A431 carcinoma cells,B,,,BAO_0000190,BAO_0000219,cell-based format,CN(C)CCn1ccc2cc3c(Nc4cccc(Br)c4)ncnc3cc21,,,CHEMBL1130030,J Med Chem,1997,"{'bei': '18.00', 'le': '0.39', 'lle': '2.74', 'sei': '16.07'}",,CHEMBL37373,,CHEMBL37373,7.39,0,http://www.openphacts.org/units/Nanomolar,60197,=,1,1,=,,IC50,nM,,41.0,CHEMBL203,Homo sapiens,Epidermal growth factor receptor,9606,,,IC50,nM,UO_0000065,,41.0,410.3190000000001,4.652200000000003,5,1,45.980000000000004
,,32260,[],CHEMBL674637,Inhibitory activity towards tyrosine phosphorylation for the epidermal growth factor-receptor kinase,B,,,BAO_0000190,BAO_0000357,single protein format,Cc1cc(C)c(/C=C2\C(=O)Nc3ncnc(Nc4ccc(F)c(Cl)c4)c32)[nH]1,,,CHEMBL1134862,Bioorg Med Chem Lett,2002,"{'bei': '19.25', 'le': '0.37', 'lle': '2.94', 'sei': '8.93'}",,CHEMBL68920,,CHEMBL68920,7.39,0,http://www.openphacts.org/units/Nanomolar,119482,=,1,1,=,,IC50,nM,,41.0,CHEMBL203,Homo sapiens,Epidermal growth factor receptor,9606,,,IC50,uM,UO_0000065,,0.041,383.814,4.450340000000002,4,3,82.69999999999999
,,289639,[],CHEMBL677890,Inhibitory activity against protein tyrosine kinase of Epidermal growth factor receptor was determined,B,,,BAO_0000190,BAO_0000357,single protein format,CC[N+](C)(C)[C@H]1C[C@@H]2O[C@](C)([C@H]1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,,,CHEMBL1127758,Bioorg Med Chem Lett,1994,"{'bei': '14.45', 'le': '0.26', 'lle': '2.14', 'sei': '12.83'}",,CHEMBL340611,,CHEMBL340611,7.37,0,http://www.openphacts.org/units/Nanomolar,249322,=,1,1,=,,IC50,nM,,43.0,CHEMBL203,Homo sapiens,Epidermal growth factor receptor,9606,,,IC50,uM,UO_0000065,,0.043,509.6300000000003,5.2309000000000045,5,1,57.42
,,379120,[],CHEMBL677387,Inhibition of phosphorylation of polyglutamic acid/tyrosine random copolymer by epidermal growth factor receptor.,B,,,BAO_0000190,BAO_0000357,single protein format,CN(C)CCNc1cc2ncnc(Nc3cccc(Br)c3)c2cn1,,,CHEMBL1130246,J Med Chem,1997,"{'bei': '18.97', 'le': '0.42', 'lle': '3.85', 'sei': '11.14'}",,CHEMBL128432,,CHEMBL128432,7.35,0,http://www.openphacts.org/units/Nanomolar,243832,=,1,1,=,,IC50,nM,,45.0,CHEMBL203,Homo sapiens,Epidermal growth factor receptor,9606,,,IC50,nM,UO_0000065,,45.0,387.2850000000001,3.5044000000000013,6,2,65.97
,,407150,[],CHEMBL679944,Concentration needed to inhibit the phosphorylation of a 14-residue fragment of phospholipase C-gamma1 by Epidermal growth factor receptor (prepared from human A431 carcinoma cell vesicles by immunoaffinity chromatography),B,,,BAO_0000190,BAO_0000357,single protein format,Nc1ccc2sc3c(Nc4cccc(C(F)(F)F)c4)ncnc3c2c1,,,CHEMBL1132555,J Med Chem,1999,"{'bei': '20.33', 'le': '0.40', 'lle': '2.14', 'sei': '11.48'}",,CHEMBL347282,,CHEMBL347282,7.33,0,http://www.openphacts.org/units/Nanomolar,296394,=,1,1,=,,IC50,nM,,47.0,CHEMBL203,Homo sapiens,Epidermal growth factor receptor,9606,,,IC50,nM,UO_0000065,,47.0,360.3640000000001,5.189100000000002,5,2,63.83
